序号-时间	进程名	进程ID	动作	路径	参数	结果	
94-17:49:52.3019356	NTLite.exe	5324	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{DA4E3DA0-D07D-11d0-BD50-00A0C911CE86}\Instance\{9C24A977-0951-451A-8006-0E49BD28CD5F}\FriendlyName	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{DA4E3DA0-D07D-11d0-BD50-00A0C911CE86}\Instance\{9C24A977-0951-451A-8006-0E49BD28CD5F} 	0x00000000 [操作成功完成。  ]	
95-17:49:52.3019356	NTLite.exe	5324	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{DA4E3DA0-D07D-11d0-BD50-00A0C911CE86}\Instance\{9C24A977-0951-451A-8006-0E49BD28CD5F}\Merit	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{DA4E3DA0-D07D-11d0-BD50-00A0C911CE86}\Instance\{9C24A977-0951-451A-8006-0E49BD28CD5F} 	0x00000000 [操作成功完成。  ]	
96-17:49:52.3019356	NTLite.exe	5324	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{DA4E3DA0-D07D-11d0-BD50-00A0C911CE86}\Instance\{9C24A977-0951-451A-8006-0E49BD28CD5F}	-	0x00000000 [操作成功完成。  ]	
97-17:49:52.3029443	NTLite.exe	5324	FILE_remove	D:\TEMP\MOUNTED\NLTmpMnt\Windows\System32\WSTPager.ax	-	0x00000000 [操作成功完成。  ]	
98-17:49:52.3029443	NTLite.exe	5324	FILE_remove	D:\TEMP\MOUNTED\NLTmpMnt\Windows\System32\VBICodec.ax	-	0x00000000 [操作成功完成。  ]	
99-17:49:52.3039079	NTLite.exe	5324	FILE_remove	D:\TEMP\MOUNTED\NLTmpMnt\Windows\System32\cca.dll	-	0x00000000 [操作成功完成。  ]	
100-17:49:52.3039079	NTLite.exe	5324	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-v..ure-filter-tvanalog_31bf3856ad364e35_none_ee5bd8583ad4fc42\10.0\	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-v..ure-filter-tvanalog_31bf3856ad364e35_none_ee5bd8583ad4fc42\10.0 	0x00000000 [操作成功完成。  ]	
101-17:49:52.3039079	NTLite.exe	5324	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-v..ure-filter-tvanalog_31bf3856ad364e35_none_ee5bd8583ad4fc42\10.0\10.0.20348.1	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-v..ure-filter-tvanalog_31bf3856ad364e35_none_ee5bd8583ad4fc42\10.0 	0x00000000 [操作成功完成。  ]	
102-17:49:52.3049337	NTLite.exe	5324	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{3D07A539-35CA-447C-9B05-8D85CE924F9E}\InprocServer32	-	0x00000000 [操作成功完成。  ]	
103-17:49:52.3049337	NTLite.exe	5324	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{3D07A539-35CA-447C-9B05-8D85CE924F9E}	-	0x00000000 [操作成功完成。  ]	
104-17:49:52.3049337	NTLite.exe	5324	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{083863F1-70DE-11D0-BD40-00A0C911CE86}\Instance\{3D07A539-35CA-447C-9B05-8D85CE924F9E}\FriendlyName	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{083863F1-70DE-11D0-BD40-00A0C911CE86}\Instance\{3D07A539-35CA-447C-9B05-8D85CE924F9E} 	0x00000000 [操作成功完成。  ]	
105-17:49:52.3049337	NTLite.exe	5324	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{083863F1-70DE-11D0-BD40-00A0C911CE86}\Instance\{3D07A539-35CA-447C-9B05-8D85CE924F9E}\CLSID	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{083863F1-70DE-11D0-BD40-00A0C911CE86}\Instance\{3D07A539-35CA-447C-9B05-8D85CE924F9E} 	0x00000000 [操作成功完成。  ]	
106-17:49:52.3049337	NTLite.exe	5324	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{083863F1-70DE-11D0-BD40-00A0C911CE86}\Instance\{3D07A539-35CA-447C-9B05-8D85CE924F9E}\FilterData	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{083863F1-70DE-11D0-BD40-00A0C911CE86}\Instance\{3D07A539-35CA-447C-9B05-8D85CE924F9E} 	0x00000000 [操作成功完成。  ]	
107-17:49:52.3049337	NTLite.exe	5324	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{083863F1-70DE-11D0-BD40-00A0C911CE86}\Instance\{3D07A539-35CA-447C-9B05-8D85CE924F9E}	-	0x00000000 [操作成功完成。  ]	
108-17:49:52.3058803	NTLite.exe	5324	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{7B3BC2A0-AA50-4ae7-BD44-B03649EC87C2}\InprocServer32	-	0x00000000 [操作成功完成。  ]	
109-17:49:52.3058803	NTLite.exe	5324	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{7B3BC2A0-AA50-4ae7-BD44-B03649EC87C2}	-	0x00000000 [操作成功完成。  ]	
110-17:49:52.3058803	NTLite.exe	5324	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{083863F1-70DE-11D0-BD40-00A0C911CE86}\Instance\{7B3BC2A0-AA50-4ae7-BD44-B03649EC87C2}\FriendlyName	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{083863F1-70DE-11D0-BD40-00A0C911CE86}\Instance\{7B3BC2A0-AA50-4ae7-BD44-B03649EC87C2} 	0x00000000 [操作成功完成。  ]	
111-17:49:52.3058803	NTLite.exe	5324	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{083863F1-70DE-11D0-BD40-00A0C911CE86}\Instance\{7B3BC2A0-AA50-4ae7-BD44-B03649EC87C2}\CLSID	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{083863F1-70DE-11D0-BD40-00A0C911CE86}\Instance\{7B3BC2A0-AA50-4ae7-BD44-B03649EC87C2} 	0x00000000 [操作成功完成。  ]	
112-17:49:52.3058803	NTLite.exe	5324	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{083863F1-70DE-11D0-BD40-00A0C911CE86}\Instance\{7B3BC2A0-AA50-4ae7-BD44-B03649EC87C2}\FilterData	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{083863F1-70DE-11D0-BD40-00A0C911CE86}\Instance\{7B3BC2A0-AA50-4ae7-BD44-B03649EC87C2} 	0x00000000 [操作成功完成。  ]	
113-17:49:52.3069133	NTLite.exe	5324	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{083863F1-70DE-11D0-BD40-00A0C911CE86}\Instance\{7B3BC2A0-AA50-4ae7-BD44-B03649EC87C2}	-	0x00000000 [操作成功完成。  ]	
114-17:49:52.3069133	NTLite.exe	5324	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{AD6C8934-F31B-4F43-B5E4-0541C1452F6F}\InprocServer32	-	0x00000000 [操作成功完成。  ]	
115-17:49:52.3069133	NTLite.exe	5324	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{AD6C8934-F31B-4F43-B5E4-0541C1452F6F}	-	0x00000000 [操作成功完成。  ]	
116-17:49:52.3069133	NTLite.exe	5324	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{083863F1-70DE-11D0-BD40-00A0C911CE86}\Instance\{AD6C8934-F31B-4F43-B5E4-0541C1452F6F}\FriendlyName	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{083863F1-70DE-11D0-BD40-00A0C911CE86}\Instance\{AD6C8934-F31B-4F43-B5E4-0541C1452F6F} 	0x00000000 [操作成功完成。  ]	
117-17:49:52.3069133	NTLite.exe	5324	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{083863F1-70DE-11D0-BD40-00A0C911CE86}\Instance\{AD6C8934-F31B-4F43-B5E4-0541C1452F6F}\CLSID	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{083863F1-70DE-11D0-BD40-00A0C911CE86}\Instance\{AD6C8934-F31B-4F43-B5E4-0541C1452F6F} 	0x00000000 [操作成功完成。  ]	
118-17:49:52.3069133	NTLite.exe	5324	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{083863F1-70DE-11D0-BD40-00A0C911CE86}\Instance\{AD6C8934-F31B-4F43-B5E4-0541C1452F6F}\FilterData	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{083863F1-70DE-11D0-BD40-00A0C911CE86}\Instance\{AD6C8934-F31B-4F43-B5E4-0541C1452F6F} 	0x00000000 [操作成功完成。  ]	
119-17:49:52.3069133	NTLite.exe	5324	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{083863F1-70DE-11D0-BD40-00A0C911CE86}\Instance\{AD6C8934-F31B-4F43-B5E4-0541C1452F6F}	-	0x00000000 [操作成功完成。  ]	
120-17:49:52.3079118	NTLite.exe	5324	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{370A1D5D-DDEB-418C-81CD-189E0D4FA443}\InprocServer32	-	0x00000000 [操作成功完成。  ]	
121-17:49:52.3079118	NTLite.exe	5324	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{370A1D5D-DDEB-418C-81CD-189E0D4FA443}	-	0x00000000 [操作成功完成。  ]	
122-17:49:52.3079118	NTLite.exe	5324	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{083863F1-70DE-11D0-BD40-00A0C911CE86}\Instance\{370A1D5D-DDEB-418C-81CD-189E0D4FA443}\FriendlyName	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{083863F1-70DE-11D0-BD40-00A0C911CE86}\Instance\{370A1D5D-DDEB-418C-81CD-189E0D4FA443} 	0x00000000 [操作成功完成。  ]	
