序号-时间	进程名	进程ID	动作	路径	参数	结果	
268-20:15:00.8647129	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{D3E34B21-9D75-101A-8C3D-00AA001A1652}\AuxUserType\2	-	0x00000000 [操作成功完成。  ]	
269-20:15:00.8657166	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{D3E34B21-9D75-101A-8C3D-00AA001A1652}\AuxUserType\3	-	0x00000000 [操作成功完成。  ]	
270-20:15:00.8657166	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{D3E34B21-9D75-101A-8C3D-00AA001A1652}\AuxUserType	-	0x00000000 [操作成功完成。  ]	
271-20:15:00.8657166	NTLite.exe	13364	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{D3E34B21-9D75-101A-8C3D-00AA001A1652}\DataFormats\PriorityCacheFormats\#8	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{D3E34B21-9D75-101A-8C3D-00AA001A1652}\DataFormats\PriorityCacheFormats 	0x00000000 [操作成功完成。  ]	
272-20:15:00.8657166	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{D3E34B21-9D75-101A-8C3D-00AA001A1652}\DataFormats\PriorityCacheFormats	-	0x00000000 [操作成功完成。  ]	
273-20:15:00.8657166	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{D3E34B21-9D75-101A-8C3D-00AA001A1652}\DataFormats	-	0x00000000 [操作成功完成。  ]	
274-20:15:00.8666947	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{D3E34B21-9D75-101A-8C3D-00AA001A1652}\DefaultIcon	-	0x00000000 [操作成功完成。  ]	
275-20:15:00.8666947	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{D3E34B21-9D75-101A-8C3D-00AA001A1652}\InProcHandler32	-	0x00000000 [操作成功完成。  ]	
276-20:15:00.8666947	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{D3E34B21-9D75-101A-8C3D-00AA001A1652}\LocalServer32	-	0x00000000 [操作成功完成。  ]	
277-20:15:00.8666947	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{D3E34B21-9D75-101A-8C3D-00AA001A1652}\MiscStatus	-	0x00000000 [操作成功完成。  ]	
278-20:15:00.8666947	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{D3E34B21-9D75-101A-8C3D-00AA001A1652}\ProgID	-	0x00000000 [操作成功完成。  ]	
279-20:15:00.8677119	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{D3E34B21-9D75-101A-8C3D-00AA001A1652}\Verb\0	-	0x00000000 [操作成功完成。  ]	
280-20:15:00.8677119	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{D3E34B21-9D75-101A-8C3D-00AA001A1652}\Verb\1	-	0x00000000 [操作成功完成。  ]	
281-20:15:00.8677119	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{D3E34B21-9D75-101A-8C3D-00AA001A1652}\Verb	-	0x00000000 [操作成功完成。  ]	
282-20:15:00.8686825	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{0003000A-0000-0000-C000-000000000046}\Conversion\Readable\Main	-	0x00000000 [操作成功完成。  ]	
283-20:15:00.8686825	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{0003000A-0000-0000-C000-000000000046}\Conversion\Readable	-	0x00000000 [操作成功完成。  ]	
284-20:15:00.8686825	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{0003000A-0000-0000-C000-000000000046}\Conversion	-	0x00000000 [操作成功完成。  ]	
285-20:15:00.8696488	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{0003000A-0000-0000-C000-000000000046}\MiscStatus	-	0x00000000 [操作成功完成。  ]	
286-20:15:00.8696488	NTLite.exe	13364	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{0003000A-0000-0000-C000-000000000046}\Ole1Class	-	0x00000000 [操作成功完成。  ]	
